datetime,local,cuota_local,cuota_empate,cuota_visitante,visitante,fecha,hora
2023-11-21 13:03:17.979881,Tolima,1.727,3.65,4.75,Deportivo Cali,25 Nov,14:00
2023-11-21 13:03:18.049426,CD Junior,1.95,3.35,4.00,Rionegro Aguilas,25 Nov,16:30
2023-11-21 13:03:18.106784,Millonarios,2.00,3.40,3.75,Independiente Medellin,26 Nov,13:00
2023-11-21 13:03:18.162148,Atlético Nacional,2.15,3.35,3.30,América de Cali,26 Nov,15:30
2023-11-21 17:11:35.519440,Tolima,1.727,3.65,4.75,Deportivo Cali,25 Nov,14:00
2023-11-21 17:11:35.579548,CD Junior,1.95,3.35,4.00,Rionegro Aguilas,25 Nov,16:30
2023-11-21 17:11:35.633152,Millonarios,2.00,3.40,3.75,Independiente Medellin,26 Nov,13:00
2023-11-21 17:11:35.688733,Atlético Nacional,2.15,3.35,3.30,América de Cali,26 Nov,15:30
2023-11-21 18:34:27.993270,Tolima,1.727,3.65,4.75,Deportivo Cali,25 Nov,14:00
2023-11-21 18:34:28.061430,CD Junior,1.95,3.35,4.00,Rionegro Aguilas,25 Nov,16:30
2023-11-21 18:34:28.120833,Millonarios,2.00,3.40,3.75,Independiente Medellin,26 Nov,13:00
2023-11-21 18:34:28.175452,Atlético Nacional,2.15,3.35,3.30,América de Cali,26 Nov,15:30
2023-11-22 09:02:31.105938,Tolima,1.727,3.65,4.75,Deportivo Cali,25 Nov,14:00
2023-11-22 09:02:31.166658,CD Junior,1.95,3.35,3.95,Rionegro Aguilas,25 Nov,16:30
2023-11-22 09:02:31.221346,Millonarios,2.00,3.40,3.75,Independiente Medellin,26 Nov,13:00
2023-11-22 09:02:31.275986,Atlético Nacional,2.15,3.35,3.30,América de Cali,26 Nov,15:30
2023-11-22 19:17:21.110603,Tolima,1.727,3.70,4.75,Deportivo Cali,25 Nov,14:00
2023-11-22 19:17:21.170117,CD Junior,1.95,3.35,3.95,Rionegro Aguilas,25 Nov,16:30
2023-11-22 19:17:21.227321,Millonarios,2.00,3.40,3.75,Independiente Medellin,26 Nov,13:00
2023-11-22 19:17:21.293740,Atlético Nacional,2.15,3.35,3.30,América de Cali,26 Nov,15:30
2023-11-23 12:25:53.067239,Tolima,1.769,3.75,4.75,Deportivo Cali,25 Nov,14:00
2023-11-23 12:25:53.128907,CD Junior,2.00,3.40,4.00,Rionegro Aguilas,25 Nov,16:30
2023-11-23 12:25:53.199586,Millonarios,2.05,3.45,3.85,Independiente Medellin,26 Nov,13:00
2023-11-23 12:25:53.255637,Atlético Nacional,2.20,3.45,3.40,América de Cali,26 Nov,15:30
2023-11-25 14:32:07.934671,CD Junior,1.727,3.85,5.00,Rionegro Aguilas,25 Nov,16:30
2023-11-25 14:32:07.998925,Millonarios,2.10,3.45,3.65,Independiente Medellin,26 Nov,13:00
2023-11-25 14:32:08.064284,Atlético Nacional,2.30,3.40,3.20,América de Cali,26 Nov,15:30
2023-11-25 14:32:08.121634,Deportivo Cali,2.20,3.35,3.25,Tolima,29 Nov,17:30
2023-11-26 12:48:15.331413,Millonarios,2.00,3.35,4.20,Independiente Medellin,26 Nov,13:00
2023-11-26 12:48:15.393696,Atlético Nacional,2.35,3.35,3.20,América de Cali,26 Nov,15:30
2023-11-26 12:48:15.447866,Rionegro Aguilas,2.25,3.20,3.30,CD Junior,29 Nov,15:15
2023-11-26 12:48:15.502557,Deportivo Cali,2.25,3.20,3.30,Tolima,29 Nov,17:30
2023-11-26 17:20:32.155674,Rionegro Aguilas,2.25,3.20,3.30,CD Junior,29 Nov,15:15
2023-11-26 17:20:32.346746,Deportivo Cali,2.25,3.20,3.30,Tolima,29 Nov,17:30
2023-11-26 17:20:32.436128,Independiente Medellin,2.00,3.40,3.70,Millonarios,30 Nov,17:30
2023-11-27 08:03:24.162622,Rionegro Aguilas,2.40,3.30,3.10,CD Junior,29 Nov,15:15
2023-11-27 08:03:24.221080,Deportivo Cali,2.60,3.25,2.875,Tolima,29 Nov,17:30
2023-11-27 08:03:24.279615,América de Cali,1.70,3.85,5.25,Atlético Nacional,30 Nov,15:15
2023-11-27 08:03:24.343740,Independiente Medellin,1.95,3.50,4.20,Millonarios,30 Nov,17:30
2023-11-27 12:47:11.941806,Rionegro Aguilas,2.40,3.30,3.10,CD Junior,29 Nov,15:15
2023-11-27 12:47:12.008924,Deportivo Cali,2.60,3.25,2.875,Tolima,29 Nov,17:30
2023-11-27 12:47:12.078310,América de Cali,1.70,3.85,5.25,Atlético Nacional,30 Nov,15:15
2023-11-27 12:47:12.136101,Independiente Medellin,1.95,3.50,4.20,Millonarios,30 Nov,17:30
2023-11-30 23:58:15.234825,Tolima,1.95,3.40,4.333,Rionegro Aguilas,02 Dic,15:00
2023-11-30 23:58:15.422055,Deportivo Cali,2.90,3.20,2.65,CD Junior,02 Dic,17:15
2023-11-30 23:58:15.488419,Atlético Nacional,2.25,3.50,3.25,Independiente Medellin,03 Dic,12:30
2023-11-30 23:58:15.559360,América de Cali,2.30,3.40,3.20,Millonarios,03 Dic,16:00
2023-12-01 11:33:54.808036,Tolima,1.95,3.40,4.333,Rionegro Aguilas,02 Dic,15:00
2023-12-01 11:33:54.901981,Deportivo Cali,3.10,3.20,2.45,CD Junior,02 Dic,17:15
2023-12-01 11:33:55.135661,Atlético Nacional,2.50,3.25,3.00,Independiente Medellin,03 Dic,12:30
2023-12-01 11:33:55.193562,América de Cali,2.30,3.40,3.20,Millonarios,03 Dic,16:00
2023-12-01 11:40:08.096824,Tolima,1.95,3.40,4.333,Rionegro Aguilas,02 Dic,15:00
2023-12-01 11:40:08.154821,Deportivo Cali,3.10,3.20,2.45,CD Junior,02 Dic,17:15
2023-12-01 11:40:08.219452,Atlético Nacional,2.50,3.25,3.00,Independiente Medellin,03 Dic,12:30
2023-12-01 11:40:08.297658,América de Cali,2.30,3.40,3.20,Millonarios,03 Dic,16:00
2023-12-02 07:29:11.179578,Tolima,1.90,3.50,4.50,Rionegro Aguilas,02 Dic,15:00
2023-12-02 07:29:11.398580,Deportivo Cali,3.70,3.25,2.15,CD Junior,02 Dic,17:15
2023-12-02 07:29:11.508075,Atlético Nacional,2.50,3.30,3.00,Independiente Medellin,03 Dic,12:30
2023-12-02 07:29:11.579849,América de Cali,2.40,3.35,3.00,Millonarios,03 Dic,16:00
2023-12-02 15:35:47.024770,Deportivo Cali,3.70,3.25,2.15,CD Junior,02 Dic,17:15
2023-12-02 15:35:47.092408,Atlético Nacional,2.50,3.25,3.00,Independiente Medellin,03 Dic,12:30
2023-12-02 15:35:47.161467,América de Cali,2.40,3.35,3.00,Millonarios,03 Dic,16:00
2023-12-03 23:14:28.821773,Rionegro Aguilas,1.65,3.80,5.25,Deportivo Cali,06 Dic,15:00
2023-12-03 23:14:28.901968,CD Junior,1.95,3.35,4.00,Tolima,06 Dic,15:00
2023-12-03 23:14:28.978055,Independiente Medellin,2.20,3.30,3.35,América de Cali,06 Dic,17:15
2023-12-03 23:14:29.070655,Millonarios,1.90,3.35,4.333,Atlético Nacional,06 Dic,17:15
2023-12-04 14:51:42.391395,Rionegro Aguilas,1.666,4.00,5.25,Deportivo Cali,06 Dic,15:00
2023-12-04 14:51:42.607257,CD Junior,2.10,3.35,3.75,Tolima,06 Dic,15:00
2023-12-04 14:51:42.677791,Independiente Medellin,2.20,3.40,3.45,América de Cali,06 Dic,17:15
2023-12-04 14:51:42.746427,Millonarios,1.90,3.40,4.50,Atlético Nacional,07 Dic,15:00
2023-12-04 16:18:47.914852,Rionegro Aguilas,1.666,4.00,5.25,Deportivo Cali,06 Dic,15:00
2023-12-04 16:18:48.104557,CD Junior,2.10,3.35,3.75,Tolima,06 Dic,15:00
2023-12-04 16:18:48.168724,Independiente Medellin,2.20,3.40,3.45,América de Cali,06 Dic,17:15
2023-12-04 16:18:48.239283,Millonarios,1.90,3.45,4.50,Atlético Nacional,07 Dic,15:00
2023-12-05 18:37:28.507391,Rionegro Aguilas,1.65,4.00,5.25,Deportivo Cali,06 Dic,15:00
2023-12-05 18:37:28.851844,Millonarios,1.909,3.45,4.50,Atlético Nacional,06 Dic,15:00
2023-12-05 18:37:28.933093,CD Junior,2.15,3.45,3.60,Tolima,06 Dic,17:15
2023-12-05 18:37:29.013570,Independiente Medellin,2.20,3.45,3.35,América de Cali,06 Dic,17:15
2023-12-06 08:17:38.169695,Rionegro Aguilas,1.571,4.20,6.00,Deportivo Cali,06 Dic,15:00
2023-12-06 08:17:38.236710,Millonarios,1.95,3.50,4.20,Atlético Nacional,06 Dic,15:00
2023-12-06 08:17:38.318517,CD Junior,1.95,3.80,3.70,Tolima,06 Dic,17:15
2023-12-06 08:17:38.404013,Independiente Medellin,2.30,3.35,3.25,América de Cali,06 Dic,17:15
2023-12-06 11:10:50.151038,Rionegro Aguilas,1.571,4.20,6.00,Deportivo Cali,06 Dic,15:00
2023-12-06 11:10:50.215313,Millonarios,1.95,3.50,4.20,Atlético Nacional,06 Dic,15:00
2023-12-06 11:10:50.271961,CD Junior,1.95,3.80,3.70,Tolima,06 Dic,17:15
2023-12-06 11:10:50.334606,Independiente Medellin,2.30,3.35,3.25,América de Cali,06 Dic,17:15
2023-12-07 10:26:00.079459,CD Junior,2.00,3.50,3.90,Independiente Medellin,10 Dic,13:00
2023-12-07 22:33:43.418107,CD Junior,1.95,3.35,4.333,Independiente Medellin,10 Dic,13:00
2023-12-08 10:17:59.821868,CD Junior,1.95,3.35,4.333,Independiente Medellin,10 Dic,13:00
2023-12-08 16:23:59.319825,CD Junior,1.95,3.35,4.333,Independiente Medellin,10 Dic,13:00
2023-12-09 14:52:18.775030,CD Junior,2.05,3.35,4.00,Independiente Medellin,10 Dic,13:00
2023-12-09 20:16:28.623322,CD Junior,2.05,3.35,4.00,Independiente Medellin,10 Dic,13:00
2023-12-11 13:52:21.096392,Independiente Medellin,1.833,3.50,4.75,CD Junior,13 Dic,17:00
2023-12-12 00:01:21.819489,Independiente Medellin,1.80,3.70,4.75,CD Junior,13 Dic,17:00
2023-12-12 00:01:26.944623,Independiente Medellin,1.80,3.70,4.75,CD Junior,13 Dic,17:00
2023-12-13 08:57:17.334677,Independiente Medellin,1.70,3.90,5.00,CD Junior,13 Dic,17:00
2024-02-29 21:39:01.548291,Envigado FC,2.05,3.40,3.90,Jaguares De Córdoba,01 Mar,13:00
2024-02-29 21:39:01.605485,Boyaca Chico FC,2.50,3.20,3.10,Tolima,01 Mar,15:10
2024-02-29 21:39:01.661511,Deportivo Cali,2.05,3.45,3.85,Once Caldas,01 Mar,17:20
2024-02-29 21:39:01.716000,Millonarios,1.85,3.35,5.00,La Equidad,02 Mar,13:00
2024-02-29 21:39:01.778879,Deportivo Pereira,2.45,3.30,3.10,América de Cali,02 Mar,15:10
2024-02-29 21:39:01.835112,CD Junior,2.00,3.45,4.00,Atlético Nacional,02 Mar,17:20
